,X,Company.name.Latin.alphabet,Inactive,Quoted,Branch,OwnData,Country.ISO.code,NACE.Rev..2..core.code..4.digits.,Consolidation.code,Last.avail..year,Operating.revenue..Turnover..th.USD.Last.avail..yr,Number.of.employees.Last.avail..yr,Number.of.publications,Number.of.live.publications,Number.of.pending.publications,Number.of.granted.publications,Node,DegreeCentrality,BetweennessCentrality,ClosenessCentrality,EigenvectorCentrality
1,10,AB VOLVO,No,Yes,No,No,SE,2910,C1,2022,"45,407,631","102,155","36,139","20,601","12,133","15,052",VOLVO,10,823.0333333,0.005617978,0.342539454
2,31,ALLISON TRANSMISSION HOLDING,No,Yes,No,No,US,2932,C1,2022,"2,769,000","3,500","1,659","1,537",824,777,ALLISON TRANSMISSION HLDG,2,69,0.003703704,0.036851221
3,63,ANHUI ANCHI AUTOMOBILE (GROUP) ,No,No,No,No,CN,NA,NF,NA,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,ANHUI ANCHI AUTO IND ,1,0,0.002358491,0.004880614
4,62,ANHUI JIANGHUAI AUTO PARTS ,No,No,No,No,HK,NA,NF,NA,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,ANHUI JIANGHUAI AUTO ,3,137,0.002816901,0.036681182
5,24,ANHUI JIANGHUAI AUTOMOBILE (GROUP) ,Yes,No,No,No,CN,2932,C1,2014,"6,364,601",n.a.,n.a.,n.a.,n.a.,n.a.,ANHUI JIANGHUAI AUTO GRP,1,0,0.003355705,0.016687857
7,17,APTIV,No,Yes,No,No,GB,2932,C1,2022,"17,489,000","160,000","23,184","16,745","10,024","10,144",APTIV,1,0,0.003676471,0.03619882
8,46,AURORA INNOVATION,No,Yes,No,No,US,5829,C1,2022,"68,000","1,700",48,48,18,30,AURORA INNOVATION,3,84.55,0.004926108,0.204975753
9,45,AUSTEM ,No,Yes,No,No,KR,2932,C2,2022,"87,503",n.a.,468,337,225,189,AUSTEM ,1,0,0.002525253,0.000702121
10,42,AUTOMOTORES Y MAQUINARIA S.A.E.C.A.,No,Yes,No,No,PY,4511,C2,2022,"140,243",n.a.,n.a.,n.a.,n.a.,n.a.,,,,,
11,40,BANK AUDI SAL,No,Yes,No,No,LB,6419,C1,2022,"314,354","3,059",5,5,3,2,AUDI,6,176.5333333,0.005235602,0.614572353
12,60,BAOTOU BEI BEN HEAVY-DUTY TRUCK ,Yes,No,No,No,HK,NA,NF,NA,n.a.,n.a.,56,8,7,49,BAOTOU BEI BEN HEAVY-DUTY,1,0,0.003636364,0.024637476
13,4,BAYERISCHE MOTOREN WERKE,No,Yes,No,No,DE,2910,C2,2022,"153,039,961","149,475","81,065","47,767","32,627","28,349",BAYERISCHE MOTOREN WERKE,6,14.38333333,0.004464286,0.857746057
14,59,BEIJING AUTOMOTIVE INDUSTRY ,No,No,No,No,CN,NA,NF,NA,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,BEIJING AUTOMOTIVE IND ,1,0,0.003636364,0.024637476
15,23,BEIQI FOTON MOTOR ,No,Yes,No,No,CN,2830,C1,2022,"6,638,962","18,840","14,596","12,306","4,222","10,364",BEIQI FOTON MOTOR ,3,137,0.004098361,0.133387574
16,37,BERMAZ MOTOR SDN. BHD.,No,No,No,No,MY,4511,C2,2022,"484,354",n.a.,n.a.,n.a.,n.a.,n.a.,BERMAZ MOTOR SDN BHD,1,0,0.002890173,0.005514456
17,33,"BROSE FAHRZEUGTEILE SE KOMMANDITGESELLSCHAFT, COBURG",No,No,No,No,DE,2910,U1,2021,"1,236,564","2,478","5,211","2,092","1,747","1,953",BROSE FAHRZEUGTEILE ,1,0,0.004329004,0.12320035
18,51,CHINA CHANGAN AUTOMOBILE GROUP ,No,No,No,No,CN,NA,U2,2021,"1,190",n.a.,"2,816","2,465","1,003","1,812",CHINA CHANG AN AUTO GRP ,1,0,0.002890173,0.005514456
19,61,CHINA FAW GROUPTECHNOLOGY COLLABORATION CENTER,Yes,No,No,No,CN,NA,NF,NA,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,CHINA FAW GROUP ,4,158.8666667,0.004524887,0.167606259
20,18,CHONGQING CHANGAN AUTOMOBILE ,No,Yes,No,No,CN,2920,C1,2022,"16,845,239","42,894","21,938","19,829","10,877","11,058",CHONGQING CHANGAN AUTO ,1,0,0.003448276,0.022300849
21,20,DAIHATSU MOTOR ,No,No,No,No,JP,2910,U2,2022,"11,185,196","12,000","21,568","15,075","10,701","6,256",DAIHATSU MOTOR ,5,0,0.003472222,0.023229993
22,35,DAIMLER TRUCK FRANCE SASU,No,No,No,No,FR,4519,U1,2022,"968,744",n.a.,n.a.,n.a.,n.a.,n.a.,DAIMLER,11,889.7666667,0.005586592,0.967003851
23,21,DANA,No,Yes,No,No,US,2932,C1,2022,"10,156,000","41,800","19,460","6,128","4,187","8,096",DANA HOLDING ,1,0,0.002949853,0.004903239
24,39,DAZHONG TRANSPORTATION(GROUP)CO.,No,Yes,No,No,CN,7711,C1,2022,"335,356","5,518",n.a.,n.a.,n.a.,n.a.,DANA HOLDING ,1,0,0.002949853,0.004903239
25,65,DOGUS OTOMOTIV SERVIS VE TICARET ANONIM SIRKETI,No,Yes,No,No,TR,4511,U2,2023,n.a.,"2,103",n.a.,n.a.,n.a.,n.a.,DOGUS OTOMOTIV SERVIS VE,1,0,0.004329004,0.12320035
26,27,DRB-HICOM BERHAD,No,Yes,No,No,MY,2910,C1,2022,"3,601,037","45,000",192,110,23,161,DRB-HICOM BHD,1,0,0.004329004,0.12320035
27,48,E.GO MOBILE,Yes,No,No,No,DE,7112,U1,2018,"50,722",289,3,3,3,n.a.,E.GO MOBILE,1,0,0.003636364,0.024637476
28,32,EICHER MOTORS,No,Yes,No,No,IN,2910,C1,2022,"1,756,595","5,002",68,67,67,n.a.,EICHER MOTORS,1,0,0.004048583,0.045576583
29,52,FAIR GROUP,No,No,No,No,NO,6201,U1,2022,613,0,n.a.,n.a.,n.a.,n.a.,FAIR GROUP,1,0,0.003676471,0.03619882
30,47,FARADAY & FUTURE,No,No,No,No,US,7112,LF,2022,"64,000",280,503,502,387,116,FARADAY&FUTURE,1,0,0.003278689,0.018788605
31,38,FAURECIA WALBRZYCH,No,No,No,No,PL,2932,U1,2022,"477,246",571,n.a.,n.a.,n.a.,n.a.,FAURECIA,2,69,0.00330033,0.019127227
